time,target,true_x,true_z,meas_x,meas_z,measurement_available,est_x,est_z
13.44,TARGET_1,-0.178047,-0.166879,-0.175269,-0.172393,True,-0.1735436103586842,-0.17536754141334115
13.504,TARGET_1,-0.176038,-0.165293,-0.188865,-0.159858,True,-0.1790832061462805,-0.16784999426167138
13.568,TARGET_1,-0.174028,-0.163707,-0.158905,-0.14428,True,-0.16959495368960717,-0.1572380164811345
13.632,TARGET_1,-0.172019,-0.16212,-0.153461,-0.160267,True,-0.16170681928180727,-0.1573058353110201
13.696,TARGET_1,-0.17001,-0.160534,-0.17471,-0.144775,True,-0.16530147495795744,-0.15122035425076924
13.76,TARGET_1,-0.168001,-0.158948,-0.181575,-0.164224,True,-0.17037522295264468,-0.15513586669891055
13.824,TARGET_1,-0.165991,-0.157361,-0.182898,-0.149955,True,-0.17420115284291746,-0.1520437948997173
13.888,TARGET_1,-0.163982,-0.155775,-0.16492,-0.170803,True,-0.16958847010205005,-0.15838041288168386
13.952,TARGET_1,-0.161973,-0.154189,-0.156801,-0.171534,True,-0.16348483862162075,-0.16277415961055422
14.016,TARGET_1,-0.159963,-0.152603,-0.157941,-0.165884,True,-0.16009879991528736,-0.16338849407726175
14.08,TARGET_1,-0.157954,-0.151016,-0.150845,-0.13296,True,-0.155196586804809,-0.15078682188826553
14.144,TARGET_1,-0.155945,-0.14943,-0.163284,-0.165757,True,-0.1570596698103169,-0.1557530287321298
14.208,TARGET_1,-0.153935,-0.147844,-0.163509,-0.160513,True,-0.15841323966242785,-0.15690175548948015
14.272,TARGET_1,-0.151926,-0.146257,,,False,-0.15661761618023073,-0.15581872361068871
14.336,TARGET_1,-0.149917,-0.144671,-0.155301,-0.129389,True,-0.15505459985934922,-0.14242727390967444
14.4,TARGET_1,-0.147908,-0.143085,-0.160306,-0.123622,True,-0.1562961285435816,-0.13333615591430162
14.464,TARGET_1,-0.145898,-0.141499,-0.141723,-0.144803,True,-0.14938051726007512,-0.13674419559069254
14.528,TARGET_1,-0.143889,-0.139912,-0.137482,-0.148566,True,-0.14346671617349233,-0.14036853281358236
14.592,TARGET_1,-0.14188,-0.138326,-0.16124,-0.158072,True,-0.14924926361489135,-0.14647186055156863
14.656,TARGET_1,-0.13987,-0.13674,-0.153909,-0.144383,True,-0.15007616503373944,-0.1449642138548411
14.72,TARGET_1,-0.137861,-0.135153,-0.11825,-0.117718,True,-0.13653962399574135,-0.13348362856924761
14.784,TARGET_1,-0.135852,-0.133567,-0.120252,-0.138299,True,-0.12875088906529078,-0.13434546037340117
14.848,TARGET_1,-0.133842,-0.131981,-0.141058,-0.135564,True,-0.1320889922436352,-0.1338716027666275
14.912,TARGET_1,-0.131833,-0.130395,-0.14319,-0.1245,True,-0.1351492389864912,-0.12924490557245308
14.976,TARGET_1,-0.129824,-0.128808,-0.134828,-0.147817,True,-0.13386873235896496,-0.13556974936083555
15.04,TARGET_1,-0.127815,-0.127222,-0.115875,-0.132739,True,-0.12561666158917886,-0.13369825589715031
15.104,TARGET_1,-0.125805,-0.125636,-0.129572,-0.111166,True,-0.1258328685605291,-0.12400959230431655
15.168,TARGET_1,-0.123796,-0.124049,-0.143414,-0.111922,True,-0.13152399663180941,-0.11816791308087829
15.232,TARGET_1,-0.121787,-0.122463,,,False,-0.12986759418993898,-0.11618594991664787
15.296,TARGET_1,-0.119777,-0.120877,-0.123327,-0.108703,True,-0.1258396179155784,-0.11153292121940123
15.36,TARGET_1,-0.117768,-0.119291,-0.119024,-0.101905,True,-0.12189039306981671,-0.10617960905220576
15.424,TARGET_1,-0.115759,-0.117704,-0.121021,-0.10108,True,-0.12040771533986783,-0.1027298468818734
15.488,TARGET_1,-0.113749,-0.116118,-0.099663,-0.119941,True,-0.11096396540170927,-0.10820785292771372
15.552,TARGET_1,-0.11174,-0.114532,-0.100258,-0.126989,True,-0.1053186388485553,-0.11451069814175126
15.616,TARGET_1,-0.109731,-0.112945,-0.114075,-0.127548,True,-0.10728541768257367,-0.1187890719469228
15.68,TARGET_1,-0.107722,-0.111359,,,False,-0.10504363899605289,-0.11763817914831119
15.744,TARGET_1,-0.105712,-0.109773,-0.100995,-0.090244,True,-0.10192428359199145,-0.10374114489606792
15.808,TARGET_1,-0.103703,-0.108187,-0.097992,-0.127382,True,-0.09892805702081496,-0.11284752673657833
15.872,TARGET_1,-0.101694,-0.1066,-0.106808,-0.125592,True,-0.10077440896039506,-0.11732141114028326
15.936,TARGET_1,-0.099684,-0.105014,-0.080002,-0.12476,True,-0.09119141959723032,-0.1197443227463602
