time,target,true_x,true_z,meas_x,meas_z,ekf_x,ekf_z
11.008,TARGET_1,-0.2544,-0.227158,-0.266649,-0.245511,-0.26522667209500617,-0.2386288544617852
11.072,TARGET_1,-0.252391,-0.225572,-0.256219,-0.240412,-0.2581175809415503,-0.23986958962188173
11.136,TARGET_1,-0.250382,-0.223986,-0.266411,-0.218453,-0.26421251737058765,-0.22332586072410654
11.2,TARGET_1,-0.248373,-0.222399,-0.238639,-0.211073,-0.24343286594624883,-0.21324652491370708
11.264,TARGET_1,-0.246363,-0.220813,-0.253658,-0.206393,-0.25064817985721183,-0.20758217292275435
11.328,TARGET_1,-0.244354,-0.219227,-0.252149,-0.202413,-0.25118385075634714,-0.2032081889033053
11.392,TARGET_1,-0.242345,-0.21764,-0.223383,-0.216069,-0.22877985277083937,-0.21240975411371427
11.456,TARGET_1,-0.240335,-0.216054,-0.225661,-0.196899,-0.22520055665099523,-0.19978760720920619
11.52,TARGET_1,-0.238326,-0.214468,-0.222298,-0.214073,-0.22214326387129926,-0.21033369223382742
11.584,TARGET_1,-0.236317,-0.212882,-0.21692,-0.225527,-0.21746891174600605,-0.2217081252603397
11.648,TARGET_1,-0.234307,-0.211295,-0.231793,-0.197952,-0.22799832527033945,-0.20322245861957583
11.712,TARGET_1,-0.232298,-0.209709,-0.212959,-0.206414,-0.21564282167771592,-0.20521944243749873
11.776,TARGET_1,-0.230289,-0.208123,-0.24591,-0.202299,-0.23912108086536002,-0.20308834460126013
11.84,TARGET_1,-0.22828,-0.206536,-0.245569,-0.198401,-0.2442278290579553,-0.19960025000965478
11.904,TARGET_1,-0.22627,-0.20495,-0.224309,-0.199844,-0.22850299346647657,-0.19950175381095095
11.968,TARGET_1,-0.224261,-0.203364,-0.221774,-0.189635,-0.22268209783646634,-0.19153729647427
12.032,TARGET_1,-0.222252,-0.201778,-0.240244,-0.217555,-0.236620243198817,-0.21178648393710237
12.096,TARGET_1,-0.220242,-0.200191,-0.229296,-0.181172,-0.23047664184108674,-0.1880309980823609
12.16,TARGET_1,-0.218233,-0.198605,-0.223521,-0.18772,-0.22461845448422657,-0.1874929427111326
12.224,TARGET_1,-0.216224,-0.197019,-0.197022,-0.205566,-0.202511664418659,-0.200823908447063
12.288,TARGET_1,-0.214214,-0.195432,-0.218477,-0.214057,-0.21473037572484271,-0.21098634414093165
12.352,TARGET_1,-0.212205,-0.193846,-0.23048,-0.200462,-0.2270121639230465,-0.20302550653938026
12.416,TARGET_1,-0.210196,-0.19226,-0.196943,-0.172788,-0.20261665748138252,-0.1792034389677624
12.48,TARGET_1,-0.208187,-0.190674,-0.222294,-0.177192,-0.21743728476558769,-0.17749561251852708
12.544,TARGET_1,-0.206177,-0.189087,-0.186211,-0.208756,-0.19268218095837836,-0.20105347620305838
12.608,TARGET_1,-0.204168,-0.187501,-0.217669,-0.204372,-0.21209500741247186,-0.2037124117175285
12.672,TARGET_1,-0.202159,-0.185915,-0.19201,-0.166495,-0.1955178504344752,-0.17468105527274264
12.736,TARGET_1,-0.200149,-0.184328,-0.214846,-0.166487,-0.21009078371338455,-0.16824432389233632
12.8,TARGET_1,-0.19814,-0.182742,-0.196468,-0.196341,-0.19935630398185242,-0.18964039002533828
12.864,TARGET_1,-0.196131,-0.181156,-0.200582,-0.177493,-0.19989114977866831,-0.1801499259154157
12.928,TARGET_1,-0.194121,-0.17957,-0.191081,-0.175516,-0.1924572617385496,-0.17628025059946287
12.992,TARGET_1,-0.192112,-0.177983,-0.180611,-0.169405,-0.18236205113104217,-0.1705337221663875
13.056,TARGET_1,-0.190103,-0.176397,-0.204689,-0.18423,-0.1996403705955781,-0.18111999997484252
13.12,TARGET_1,-0.188094,-0.174811,-0.205115,-0.175897,-0.20390634740827565,-0.17715358585641536
13.184,TARGET_1,-0.186084,-0.173224,-0.166433,-0.156766,-0.17367023298535572,-0.16082367692464125
13.248,TARGET_1,-0.184075,-0.171638,-0.189192,-0.190887,-0.18549434581733715,-0.1839351735106849
13.312,TARGET_1,-0.182066,-0.170052,-0.163738,-0.187581,-0.16788922814810192,-0.18637468397415055
13.376,TARGET_1,-0.180056,-0.168466,-0.168328,-0.16214,-0.16727384595677597,-0.16741730773293934
13.44,TARGET_1,-0.178047,-0.166879,-0.175269,-0.172393,-0.17298926042845278,-0.17105439686195612
13.504,TARGET_1,-0.176038,-0.165293,-0.188865,-0.159858,-0.18512976837514036,-0.1624401797598078
13.568,TARGET_1,-0.174028,-0.163707,-0.158905,-0.14428,-0.16377723784286566,-0.14795148711060555
13.632,TARGET_1,-0.172019,-0.16212,-0.153461,-0.160267,-0.15484164248903623,-0.15696292629336184
13.696,TARGET_1,-0.17001,-0.160534,-0.17471,-0.144775,-0.16975219964452404,-0.1474025800974697
13.76,TARGET_1,-0.168001,-0.158948,-0.181575,-0.164224,-0.1790803249817002,-0.1604299278559715
13.824,TARGET_1,-0.165991,-0.157361,-0.182898,-0.149955,-0.1820758174171135,-0.15244460006436786
13.888,TARGET_1,-0.163982,-0.155775,-0.16492,-0.170803,-0.16872507811546186,-0.16639742352335724
13.952,TARGET_1,-0.161973,-0.154189,-0.156801,-0.171534,-0.15914943452197966,-0.17011718693037653
14.016,TARGET_1,-0.159963,-0.152603,-0.157941,-0.165884,-0.1577961831920143,-0.1666716124625829
14.08,TARGET_1,-0.157954,-0.151016,-0.150845,-0.13296,-0.15136630593453207,-0.14030404829337667
14.144,TARGET_1,-0.155945,-0.14943,-0.163284,-0.165757,-0.1604842189427176,-0.15985852607823575
14.208,TARGET_1,-0.153935,-0.147844,-0.163509,-0.160513,-0.1627661092182233,-0.16034519197299588
14.272,TARGET_1,-0.151926,-0.146257,-0.152256,-0.155709,-0.15423956606363057,-0.1565727319711594
14.336,TARGET_1,-0.149917,-0.144671,-0.155301,-0.129389,-0.15434092103284733,-0.13541372323035078
14.4,TARGET_1,-0.147908,-0.143085,-0.160306,-0.123622,-0.1583932222406692,-0.12609406662793732
14.464,TARGET_1,-0.145898,-0.141499,-0.141723,-0.144803,-0.1449525391975931,-0.1401002463764916
14.528,TARGET_1,-0.143889,-0.139912,-0.137482,-0.148566,-0.13857252776682963,-0.14629739136716974
14.592,TARGET_1,-0.14188,-0.138326,-0.16124,-0.158072,-0.15634010149845387,-0.15550758627441164
14.656,TARGET_1,-0.13987,-0.13674,-0.153909,-0.144383,-0.1543951126280801,-0.14695379207633988
14.72,TARGET_1,-0.137861,-0.135153,-0.11825,-0.117718,-0.12500827942595938,-0.1238264767229955
14.784,TARGET_1,-0.135852,-0.133567,-0.120252,-0.138299,-0.12024456317078552,-0.13452875072497247
14.848,TARGET_1,-0.133842,-0.131981,-0.141058,-0.135564,-0.13599491028552024,-0.1352208675212198
14.912,TARGET_1,-0.131833,-0.130395,-0.14319,-0.1245,-0.14130259016889238,-0.12691029583122776
14.976,TARGET_1,-0.129824,-0.128808,-0.134828,-0.147817,-0.13622050561898277,-0.1428753525177332
15.04,TARGET_1,-0.127815,-0.127222,-0.115875,-0.132739,-0.1196561399380557,-0.1347242736608416
15.104,TARGET_1,-0.125805,-0.125636,-0.129572,-0.111166,-0.12661821257296746,-0.11637078412197337
