time,target,true_x,true_z,meas_x,meas_z
10.624,TARGET_1,-0.266456,-0.236676,-0.263564,-0.225064
10.624,TARGET_2,0.441588,0.159447,0.442257,0.173843
10.688,TARGET_1,-0.264447,-0.235090,-0.253551,-0.247853
10.688,TARGET_2,0.442186,0.156958,0.426209,0.163176
10.752,TARGET_1,-0.262438,-0.233503,-0.270402,-0.246306
10.752,TARGET_2,0.442784,0.154469,0.437183,0.137618
10.816,TARGET_1,-0.260428,-0.231917,-0.259849,-0.218916
10.816,TARGET_2,0.443382,0.151980,0.437700,0.168449
10.880,TARGET_1,-0.258419,-0.230331,-0.252271,-0.244916
10.880,TARGET_2,0.443980,0.149490,0.436578,0.135881
10.944,TARGET_1,-0.256410,-0.228745,-0.268294,-0.222479
10.944,TARGET_2,0.444578,0.147001,0.428515,0.135286
11.008,TARGET_1,-0.254400,-0.227158,-0.252444,-0.242783
11.008,TARGET_2,0.445176,0.144512,0.441275,0.160667
11.072,TARGET_1,-0.252391,-0.225572,-0.238584,-0.228666
11.072,TARGET_2,0.445774,0.142023,0.456677,0.126656
11.136,TARGET_1,-0.250382,-0.223986,-0.250912,-0.206659
11.136,TARGET_2,0.446372,0.139534,0.431681,0.150283
11.200,TARGET_1,-0.248373,-0.222399,-0.264243,-0.241127
11.200,TARGET_2,0.446970,0.137045,0.465797,0.153749
11.264,TARGET_1,-0.246363,-0.220813,-0.247347,-0.239249
11.264,TARGET_2,0.447568,0.134555,0.461060,0.149471
11.328,TARGET_1,-0.244354,-0.219227,-0.253083,-0.215638
11.328,TARGET_2,0.448166,0.132066,0.440858,0.148642
11.392,TARGET_1,-0.242345,-0.217640,-0.259072,-0.225299
11.392,TARGET_2,0.448764,0.129577,0.433812,0.134556
11.456,TARGET_1,-0.240335,-0.216054,-0.242679,-0.233697
11.456,TARGET_2,0.449362,0.127088,0.449002,0.121950
11.520,TARGET_1,-0.238326,-0.214468,-0.234031,-0.212696
11.520,TARGET_2,0.449960,0.124599,0.448759,0.143611
11.584,TARGET_1,-0.236317,-0.212882,-0.230836,-0.211104
11.584,TARGET_2,0.450558,0.122109,0.445299,0.105490
11.648,TARGET_1,-0.234307,-0.211295,-0.238756,-0.208564
11.648,TARGET_2,0.451156,0.119620,0.467423,0.111603
11.712,TARGET_1,-0.232298,-0.209709,-0.241059,-0.221574
11.712,TARGET_2,0.451753,0.117131,0.443541,0.119925
11.776,TARGET_1,-0.230289,-0.208123,-0.241338,-0.190349
11.776,TARGET_2,0.452351,0.114642,0.467301,0.130560
11.840,TARGET_1,-0.228280,-0.206536,-0.223014,-0.195314
11.840,TARGET_2,0.452949,0.112153,0.452010,0.127428
